,name,preimage,ref,price,Бренд,Тип,Объем памяти,Тип шины,Цвет товара,"Частота графического процессора, МГц",Тип памяти
20,Colorful Видеокарта GeForce RTX 3070 8 ГБ (GeForce RTX 3070  Ultra W OC 8G),https://ir.ozone.ru/s3/multimedia-o/wc500/6672964668.jpg,https://www.ozon.ru/product/colorful-videokarta-geforce-rtx-3070-8-gb-geforce-rtx-3070-ultra-w-oc-8g-1313150518/?advert=LRIaGnSxPCwJqFaJxMSe6tJwAGnpdH8yu7HpimO5prVpt5vKGGWQAglG6aCFxIW1l3_GKS2JHiPv1H_o-i8E1jCfjdPbPBGFKJXnb0_veB3GCgeoeZTxCDr320zcJCizqjNAWAPieKpKDYGDrPEEkGf6ahN4RuxLSAT-kL7Q0lXa9R09cqrvRsUPylBfUVeEUNiNDpGYgdZYFD0m0-A9WCWYLWv1Rr6exQrUXIUdFXQbg2kww-MpOs2-qSffGK60XCtpKbsvjuYZkmV7lLzI1hEAs8FL9NcUV6wafEU-t-PnMDawhsY6qKB9EX8Jbtlc&avtc=1&avte=2&avts=1707688387&keywords=3070,37086,,Видеокарта,8 ГБ,PCI-E 4.0 x16,,1725,GDDR6
21,Palit Видеокарта GeForce RTX 3070 Ti 8 ГБ (NED307TT19P2-1047G),https://ir.ozone.ru/s3/multimedia-s/wc500/6344459080.jpg,https://www.ozon.ru/product/palit-videokarta-geforce-rtx-3070-ti-8-gb-ned307tt19p2-1047g-1417970405/?asb=U5Ti4bXUUB40hZTgfzg%252FMksrrLGAod6HpUNNVtlcI5I%253D&asb2=MDSycnjtAlAMiUx79XnxBUcKChfEChdqGK2JAdqUxzW0k0rAAQYZDUOH5UCz8htAFKrIApt1lDZyp-WTtlYdzw&avtc=1&avte=1&avts=1707688387&keywords=3070,51990,,Видеокарта,8 ГБ,PCI Express 4.0,,1545,GDDR6X
22,ZOTAC Видеокарта GeForce RTX 3070 Ti 8 ГБ ( ZT-A30710J-10P),https://ir.ozone.ru/s3/multimedia-t/wc500/6534788741.jpg,https://www.ozon.ru/product/zotac-videokarta-geforce-rtx-3070-ti-8-gb-zt-a30710j-10p-1417967918/?asb=LW5DO%252BBqMYs2et4kzo2WiUEzoPxXFvad8Hf8vQioaac%253D&asb2=np_p7zS_-yuoLs7g2qnrpNpWgX-7tCpkXo-ZvycrYcR8eCIZd7Td0GiCxXUW0neDU5W28gqHp4BGcAaHKGcIVw&avtc=1&avte=1&avts=1707688387&keywords=3070,49999,,Видеокарта,8 ГБ,PCI-E 4.0 x16,,,GDDR6X
23,Gigabyte Видеокарта GeForce RTX 3070 GIGABYTE GeForce RTX 3070 EAGLE OC 8 ГБ (GV-N3070EAGLE OC-8GD 2.0),https://ir.ozone.ru/s3/multimedia-8/wc500/6740156204.jpg,https://www.ozon.ru/product/gigabyte-videokarta-geforce-rtx-3070-8-gb-gv-n3070eagle-oc-8gd-2-0-lhr-1097781944/?advert=M39N1SAQJ00io21nlS38TCvlpWNSjO7OqvHiCqiBx8x0W-CtUmf5Ix76bbrhEsPoGl3udkr1ddj5GI1FSk9gLGFCz50NU_0oCYMtaZEno-zFrNFw2S_sbCR9Ko8ctofdyKcI2FnuJuB3Ifebb2y8klj48YZmXg-TKghT3Em1JWywxL13Q8XYUNceRvqX4rK9hFqu0VpEAyzgYzMJOyKVCgkBcoVFPgtHgN29cz02c6Ez9stRHYHdGP2QwIffOEw7XhXMzTr6BpOeISycJpuNfrLX5RKTfCzoRpYBYK84U5zz1335uXfiZAe-HanoxDs&avtc=1&avte=2&avts=1707688387&keywords=3070,39151,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
24,"Gainward Видеокарта GeForce RTX 3070 GeForce RTX 3070 Phoenix 8GB 8 ГБ (NE63070019P2-1041X), LHR",https://ir.ozone.ru/s3/multimedia-5/wc500/6850024889.jpg,https://www.ozon.ru/product/gainward-videokarta-geforce-rtx-3070-geforce-rtx-3070-phoenix-8gb-8-gb-ne63070019p2-1041x-lhr-1315928434/?asb=rHDPB0fDtRmErpfjJ%252B2bF0OIHmT3557t8Iv5KG%252B%252BjFc%253D&asb2=Qm1gwSijmi5OctKMXby8xrVo-GBsOxVNq5xZNc4coDaadF5aZ7ie7snOVnLcKG_Nog5RUQ2R31-D9TS_aP0dIA&avtc=1&avte=2&avts=1707688387&keywords=3070,35956,,Видеокарта,8 ГБ,PCI Express 4.0,,1500,GDDR6
25,"Gigabyte Видеокарта GeForce RTX 3070 8 ГБ (GV-N3070GAMING OC-8GD), LHR",https://ir.ozone.ru/s3/multimedia-u/wc500/6602444202.jpg,https://www.ozon.ru/product/gigabyte-videokarta-geforce-rtx-3070-ti-8-gb-gv-n307tgaming-oc-8g-lhr-910139777/?asb=bJAaUW%252BFidvYSZnwqz0qORh07EWfOaOx%252FaN5dXMDHsQ%253D&asb2=0zH-BXCAYQMli7Epb_rX9nA9PZsBx8Nz01K04acUwm6SWcMYbAgaEWk0_X7DHsZwVSABIW5KCF2zBRsh-Xnoqg&avtc=1&avte=2&avts=1707688387&keywords=3070,34985,,Видеокарта,8 ГБ,PCI-E 4.0 x16,,1815,GDDR6
26,Colorful Видеокарта GeForce RTX 3070 8 ГБ (GeForce RTX 3070  Ultra W OC 8G),https://ir.ozone.ru/s3/multimedia-p/wc500/6848227105.jpg,https://www.ozon.ru/product/colorful-videokarta-geforce-rtx-3070-8-gb-geforce-rtx-3070-ultra-w-oc-8g-1282728374/?advert=BkHYir2KoIfndhit2YZZ0fABsNuLyfiV2iUP9O7eOpsbQMG1MUTAUTiQUsOqVXYCn3U2olftky6dM4PX9CQvhWVslo_ZJ87-7V4bfbvCPSK5RpYXSZ6R_i6KoBZ98YEGYb50WdyaZmBwRWKFlmiZTdVMAM0EJOH7sC1AJTqoFz6n13xOaV1Xb96wpdA-0I1CW4jw--3s11EGaN2qDsWfWTjjD_9wxduf1WuSbHGfLr8ZgWi_DxNfQGR6CsH0oB5AGkS5wJW3h1NpsBJod-dtJYkcj7NzWXX5_A3LOzSw99piD8AZPfxszJWKIXi6_TeE&avtc=1&avte=2&avts=1707688387&keywords=3070,43389,,Видеокарта,8 ГБ,PCI-E 4.0 x16,,1725,GDDR6
27,Palit Видеокарта GeForce RTX 3070 Ti GameRock 8 ГБ (ARGB),https://ir.ozone.ru/s3/multimedia-1-l/wc500/6918317841.jpg,https://www.ozon.ru/product/palit-videokarta-geforce-rtx-3070-ti-gamerock-8-gb-argb-1417971131/?asb=nmB4%252FfRXgr2nv7kphlDyevDfGRaULh4MZ9cwtgUcdA4%253D&asb2=71Fa7PNQov0wJ2cEwE6Gg7bk3R7d0EZpeBBuL95KaHZIWfVUsU9B4UcGbTsq7xEoXcx-CnADr8uYUkY5WYPV_A&avtc=1&avte=1&avts=1707688387&keywords=3070,50990,,Видеокарта,8 ГБ,PCI Express 4.0,,1575,GDDR6X
28,ZOTAC Видеокарта GeForce RTX 3070 Ti 8 ГБ (ZT-A30710D-10P),https://ir.ozone.ru/s3/multimedia-i/wc500/6326895894.jpg,https://www.ozon.ru/product/zotac-videokarta-geforce-rtx-3070-ti-8-gb-zt-a30710d-10p-1417967917/?asb=JLA7P2TM7DPwMgBkDiMkaeJUelrWaY416%252BvnU2jOOco%253D&asb2=v4JonB23N9kXDs-OnxaZnd2agf4AXb_ycF8woMzrsoHJ2nMPomZe2xHHbledetDHjavGkYedFA-DCCwrK-RGeQ&avtc=1&avte=1&avts=1707688387&keywords=3070,48990,,Видеокарта,8 ГБ,,,,GDDR6X
29,ASUS Видеокарта GeForce RTX 3070 Ti 8 ГБ (3070 Ti-8G),https://ir.ozone.ru/s3/multimedia-8/wc500/6624503900.jpg,https://www.ozon.ru/product/asus-videokarta-geforce-rtx-3070-ti-8-gb-3070-ti-8g-1282728848/?advert=_hZx2QzT484pDhyKqFK9NVwZg15q7gmTBccp1WVkdoqqqOIXooJsZndwqx76tRySrK4D1e2e-LJThdGsLK_2ih7a7Obfynut7hO3B6uWCW-FZ2tiYkv5Lyz2yuzL78SO1PEaKrHVWL70QshiwJO_hC5UEFUdiJqUYb3Qi59Dqi--_vFd7oBV03vmjVVseeyG_WWoK2JgvcGCx7Fp1cfl9ObGsdW_Dqk3p4bfAe-LRWOxAF4NCPJU5iY4pDQ6af4TDDqg6rpgM7njiilTxmwGcjL83nsiTUnY8hi7htQOa5BrGgQ7TBNOsD76j1Id6COA&avtc=1&avte=2&avts=1707688387&keywords=3070,46403,,Видеокарта,8 ГБ,PCI-E 4.0 x16,,2565,GDDR6X
30,NVIDIA Видеокарта GeForce RTX 3070 8 ГБ (08G-P5-3755-KR),https://ir.ozone.ru/s3/multimedia-2/wc500/6863996198.jpg,https://www.ozon.ru/product/nvidia-videokarta-geforce-rtx-3070-8-gb-08g-p5-3755-kr-1345422426/?asb=yMBkTIqHe0JE21v%252BjrfFHzchAkhx7pDpOCWlZAdwPp8%253D&asb2=GVqOnzuZLXlajSjVpax5rOfvB7-uyRZkegvY_tWJbtN64ePJKdzBhzGjyTdHMvolWHza1OKRda032E4tOjkPWQ&avtc=1&avte=2&avts=1707688387&keywords=3070,46200,,Видеокарта,8 ГБ,PCI Express 4.0,,,GDDR6
31,"Видеокарта GeForce RTX 3070 Видеокарта GeForce RTX 3070 8 ГБ  внешняя дискретная  видеоускоритель   для компьютера игровая （новый крафт  OEM，нет цветной упаковки, только обычная упаковка ） 8 ГБ (30708gd6)",https://ir.ozone.ru/s3/video-20/01HKM89R4GJ9K6E89AS1T9TMGW/cover/wc500/cover.jpg,https://www.ozon.ru/product/videokarta-geforce-rtx-3070-videokarta-geforce-rtx-3070-8-gb-vneshnyaya-diskretnaya-1376291695/?asb=6PQ87r9p3BGHzqzqh6kYKrW0T3IV7WJj8Yf6aLySWDU%253D&asb2=ZLJ-Ck2fTNh1P5vgQ3Gzi6EHY08LS_LZOS7dSSzh1CRKwFJnaOIGTmd-iE0y1nJEcx9MuQg8tpfhRiZC-iah9g&avtc=1&avte=2&avts=1707688387&keywords=3070,27475,,Видеокарта,8 ГБ,PCI Express 3.0,,1450,GDDR6
32,"ZOTAC Видеокарта GeForce RTX 3070 Ti 8 ГБ (ZT-A30710J-10P), LHR",https://ir.ozone.ru/s3/multimedia-8/wc500/6194115968.jpg,https://www.ozon.ru/product/zotac-videokarta-geforce-rtx-3070-ti-8-gb-zt-a30710j-10p-lhr-1417967924/?asb=LTO1P3U9jr8WYnr0VALmqMELl8qs8SItwqkjp9Hzpxw%253D&asb2=455HRkUy3VdF-MIE2llj03GmBD2oEZldnSkh5SMHXRTryA1tMKtNFFmD5doETeOt4FLUVDLn8ojiLtcTuftxmw&avtc=1&avte=1&avts=1707688387&keywords=3070,50000,,Видеокарта,8 ГБ,PCI Express 4.0,,1575,GDDR6X
33,"Металлический вертикальный кронштейн (держатель) на две видеокарты, регулируемая опора для NVIDIA RTX GTX, AMD Radeon RX, ASUS, GIGABYTE и др, черный металл",https://ir.ozone.ru/s3/multimedia-b/wc500/6422763635.jpg,https://www.ozon.ru/product/metallicheskiy-vertikalnyy-kronshteyn-derzhatel-na-dve-videokarty-reguliruemaya-opora-dlya-728037170/?asb=uTDdkwKyvixGFQJEb8G8QtldI3iUPEWW3DHWGy372DU%253D&asb2=-bTcuwbz8qRBbvSmuuWcgJvCyNbzYj3Wmc1a7c3pAiF_uFJ1c1Fk7QxTzimxNPFbz_bzt4fcEqLD5rQFVzwcaQ&avtc=1&avte=2&avts=1707688387&keywords=3070,767,COOLMOON,Держатель для видеокарты,,,черный,,
34,"Металлический вертикальный кронштейн (держатель) для видеокарты, регулируемая подставка для NVIDIA RTX GTX, AMD Radeon RX, ASUS, GIGABYTE и др, серебряный металл",https://ir.ozone.ru/s3/multimedia-r/wc500/6422762247.jpg,https://www.ozon.ru/product/metallicheskiy-vertikalnyy-kronshteyn-derzhatel-dlya-videokarty-reguliruemaya-podstavka-dlya-728033986/?asb=tc1RbyJSwwYIWIh55u98VfJ6anOxrEl21ZCY5OsCrDY%253D&asb2=Cw2IRftItc7gK85tkTCS-j1E4Vuabtlkg_-EsCdh-YOK3tZsQM7uqkml6i89cL6iYcExde2BwzSJton5p4E1tw&avtc=1&avte=2&avts=1707688387&keywords=3070,478,COOLMOON,Держатель для видеокарты,,,серый металлик,,
35,"Вертикальный винтовой кронштейн (держатель) для видеокарты VC-15 PLUS регулируемая подставка для NVIDIA RTX GTX, AMD Radeon RX, ASUS, GIGABYTE и др, от 7,4 до 12 см, черный металл",https://ir.ozone.ru/s3/multimedia-1/wc500/6422784109.jpg,https://www.ozon.ru/product/vertikalnyy-vintovoy-kronshteyn-derzhatel-dlya-videokarty-vc-15-plus-reguliruemaya-podstavka-dlya-728077079/?asb=z83CTpGgBpzm%252FiqOJ34dWTTH5xvLZNLbVsITSZ%252FK7N8%253D&asb2=zCjkTthesfJUROnNlEE-Af7pyPUvbnl6kyjZB7KVv1X1CsRCV9mE_AOvosI9sgWdVakYsK4erGSFYsLiRr_ylw&avtc=1&avte=4&avts=1707688387&keywords=3070,461,COOLMOON,Держатель для видеокарты,,,черный,,
